This bulletin is one of a series designed to assist in * this.,doing,tracts,destroy,brilliant
Not all birds are beneficial_ and all facts tending to show in which class * species belongs will be set forth.,each,elements,clearly,westward
The useful kinds far outnumber the injurious_ however_ and so great is their value * insect destroyers in the United States that to them may be given the credit of being one of the greatest controlling factors in limiting the development of insect pests and in preventing many disastrous outbreaks.,as,chickadees,remain,unmolested
In the following pages are discussed the habitat_ food habits_ and relation to agriculture of more than 50 species of birds * to farming sections.,common,yet,pigweeds,chokeberry
This bulletin is largely * revision of Farmers’ Bulletin 54_ by Prof.,a,cuckoo,excellence,restraining
The parts relating to the crow * blue Jay were contributed by E. R. Kalmbach_ assistant biologist_ and the discussion of the nighthawk and bobwhite by W. L. McAtee_ in charge.,and,say,forms,possibility
Within certain limits birds * the kind of food that is most accessible_ especially when their natural food is scarce or wanting.,eat,badly,brings,rest
Thus they sometimes injure the crops of the farmer who has unintentionally destroyed their natural food in his improvement of swamp * pasture.,or,predacious,plentiful,conspicuous
Most of the damage done by birds and complained of by farmers and fruit growers arises from this very cause_ the berry-producing shrubs and seed-bearing weeds * been cleared away_ and the birds have no recourse but to attack the cultivated grain or fruit which has replaced their natural food supply.,have,acorns,melons,woodboring
The * majority of land birds subsist upon insects during the period of nesting and molting_ and also feed their young upon them during the first few weeks.,great,gnats,notable,too
Many species live almost entirely upon insects_ * vegetable food only when other subsistence fails.,taking,overestimated,spot,explain
It is thus evident that in the course * a year birds destroy an incalculable number of insects_ and it is difficult to overestimate the value of their services in restraining the great tide of insect life.,of,peanuts,tiger,bushy
In winter_ in the northern part of the *_ insects become scarce or entirely disappear.,country,apricots,grasses,flight
Many species of birds_ however_ remain during the cold season and are able to maintain life by * vegetable food_ as the seeds of weeds.,eating,dreaded,keep,wax
Here again is another * function of birds in destroying these weed seeds and thereby lessening the growth of the next year.,useful,mast,bushy,cats
In the following pages are discussed the food * of more than 50 birds belonging to 12 families.,habits,glimmer,thermometer,belongs
Many are * forms which are represented in the West by slightly different species or subspecies_ but unless the food habits differ they are not separately described.,eastern,ripens,contained,search
In some cases specific percentages of food are given_ but for * most part the statements are made without direct reference to the data on which they are based.,the,breeder,cutting,adopts
In the Mississippi * it winters as far north as southern Illinois_ and in the East as far as Pennsylvania.,valley,cutting,newly,bulletin
It is one of * earliest northern migrants_ and everywhere is hailed as a harbinger of spring.,the,unsettled,habitually,within
Very domestic in habits_ it frequents orchards and gardens_ and builds * nests in cavities of trees_ crannies in farm buildings_ or boxes provided for its use.,its,former,smallest,preserves
The bluebird has not been accused_ so far * known_ of stealing fruit or of preying upon crops.,as,material,stone,young
An examination of 855 stomachs showed that 68 per cent of the food consists of insects and their allies_ while the other 32 per cent is made up of various * substances_ found mostly in stomachs taken in winter.,vegetable,begin,similar,fence
Beetles constitute 21 per cent of the whole food_ grasshoppers 22_ caterpillars 10_ and various other insects 9_ while a number of spiders and myriapods_ about 6 per cent_ comprise the remainder of the * diet.,animal,reported,character,nothing
All these * more or less harmful_ except a few predacious beetles_ which amount to 9 per cent.,are,unintentionally,there,gardens
In view of the large consumption of grasshoppers and caterpillars_ we may at least condone this offense_ * such it may be called.,if,for,covered,item
The destruction of grasshoppers is very noticeable * August and September_ when these insects make up about 53 per cent of the diet.,in,frequents,extent,able
It is evident that in the selection of its food the bluebird is governed more * abundance than by choice.,by,belonging,honeysuckle,difficulty
Predacious beetles are eaten in spring_ as they are among the first insects to appear; but in early summer caterpillars form an important part of the *_ and these are later replaced by grasshoppers.,diet,recourse,therefore,swamp
Beetles are eaten at * times_ except when grasshoppers are more easily obtained.,all,feed,helpful,blows
So far as its vegetable food is concerned the bluebird is * harmless.,positively,geographic,economic,cackle
The only trace of any useful product in the stomachs consisted of a few blackberry seeds_ and even * probably belonged to wild rather than cultivated varieties.,these,dogday,completely,ripens
Following is a list * the various seeds which were found; Blackberry_ chokeberry_ juniperberry_ pokeberry_ partridgeberry_ greenbrier_ Virginia creeper_ bittersweet_ holly_ strawberry bush_ false spikenard_ wild sarsaparilla_ sumac (several species)_ rose haws_ sorrel_ ragweed_ grass_ and asparagus.,of,ground,raiser,displays
This list shows how * the bluebird depends upon the farm or garden to supply its needs and how easily_ by encouraging the growth of some of these plants_ many of which are highly ornamental_ the bird may be induced to make its home on the premises.,little,distinct,necessary,elm
Two species of bluebirds * the Western States—the mountain bluebird and the western bluebird.,inhabit,evident,wrens,pokeberry
In their food habits they are even more to be commended * their eastern relative.,than,lives,prohibited,published
Their insect food is obtainable * all times of the year_ and the general diet varies only in the fall_ when some fruit_ principally elderberries_ is eaten_ though an occasional blackberry or grape is also relished.,at,loud,prefers,wholly
In an examination of 217 stomachs of the western bluebird_ animal matter (insects and spiders) was found * the extent of 82 per cent and vegetable matter to the extent of 18 per cent.,to,row,resort,pests
The bulk * the former consists of bugs_ grasshoppers_ and caterpillars.,of,mistake,just,natural
Grasshoppers_ when they can * obtained_ are eaten freely during the whole season.,be,pains,dreaded,most
Caterpillars also are a favorite food and are eaten during every month of * year; March is the month of greatest consumption_ with 50 per cent_ and the average for the year is 20 per cent.,the,replacing,phœbe,largest
Two stomachs taken in January contained 64 and 50 per *_ respectively_ of caterpillars.,cent,maledictions,space,consisting
Beetles also * eaten and comprise mostly harmful species.,are,lodged,extends,studied
The vegetable matter * of weed seeds and small fruits.,consists,wintering,heard,others
In December a few grapes are eaten_ but elderberries are the * whenever they can be found.,favorites,fluttering,article,goldenwinged
It is only when these are in their greatest abundance * vegetable exceeds animal food.,that,eager,thrasher,fairer
Although the great bulk of the species leaves the Northern States in winter_ a few * remain in sheltered swamps_ where wild berries furnish abundant food.,individuals,fence,nestlings,feed
The robin is an omnivorous feeder and its * habits have sometimes caused apprehension to the fruit grower_ for it is fond of cherries and other small fruits_ particularly the earlier varieties.,food,conclusively,hastened,blows
For this reason many * have been lodged against robins_ and it has been necessary to permit the killing of the birds in some fruit-growing regions.,complaints,hibernating,least,rice
Examinations of 1_236 stomachs show that 42 per cent of its food is animal matter_ principally insects_ while the remainder is made up * of small fruits or berries.,largely,practically,beings,songster
Over 16 per cent consists of beetles_ * one-third of which are useful ground beetles_ taken mostly in spring and fall when other insects are scarce.,about,sparrow,identical,discrimination
Grasshoppers make up * 5 per cent of the whole food_ but in August they comprise 17 per cent.,about,original,dusky,agents
Caterpillars form about 9 per cent_ while the rest of the animal food_ about 11 per cent_ is made up of various insects_ * a few spiders_ snails_ and angleworms.,with,cotton,earthworms,atone
All the grasshoppers_ caterpillars_ and bugs_ with a large portion of the beetles_ * injurious_ and it is safe to say that noxious insects comprise more than one-third of the robin’s food.,are,prey,hand,rendering
Vegetable food forms 58 per cent of the stomach contents_ over 42 per cent * wild fruits and only a little more than 8 per cent being possibly cultivated varieties.,being,undue,itself,whitebellied
Cultivated fruit amounting to about 25 per cent was found in the stomachs * June and July_ but only a trifle in August.,in,smallest,superabundant,confine
Wild *_ on the contrary_ is eaten every month and constitutes a staple food during half the year.,fruit,attack,induced,protecting
The depredations of * robin seem to be confined to the smaller and earlier fruits_ few_ if any_ complaints being made that it eats apples_ peaches_ pears_ grapes_ or even late cherries.,the,berryproducing,drilled,per
By the time these are ripe the forests and hedges are teeming with wild fruits which the bird evidently finds more to * taste.,its,grubworms,local,preferring
The cherry_ unfortunately for man_ ripens so early that it is almost the only fruit accessible at a time when the bird’s * has been sharpened by a long-continued diet of insects_ earthworms_ and dried berries_ and it is no wonder that at first the rich juicy morsels are greedily eaten.,appetite,worth,beautiful,preceding
Much has been written about the delicate * of birds for choice fruit and their selection of only the finest and costliest varieties.,discrimination,forms,cackle,marauders
This is * to observed facts.,contrary,pass,belonged,differs
Birds_ unlike human beings_ seem to prefer fruit *_ like the mulberry_ is sweetly insipid_ or that_ like the chokecherry or holly_ has some astringent or bitter quality.,that,parks,corresponding,highly
The so-called black alder_ a species of holly_ has bright scarlet berries tasting as bitter as *_ that ripen late in October and remain on the bushes through November.,quinine,excellence,reason,hen
Though frost grapes_ the fruit of the Virginia creeper_ and several species of dogwood are abundant at the same time_ the birds * been found to eat the berries of the holly to a considerable extent.,have,begins,hawks,meadowlarks
It is_ moreover_ a remarkable fact that the * fruits upon which birds largely feed are those which man neither gathers for his own use nor adopts for cultivation.,wild,practically,diet,catbird
Where wild fruit is not abundant_ a few fruit-bearing shrubs and vines * planted will serve for ornament and provide food for the birds.,judiciously,to,redheaded,held
The Russian mulberry is a vigorous grower * a profuse bearer_ ripening at the same time as the cherry.,and,dig,belongs,buprestid
So far as observation has gone_ most * seem to prefer its fruit to any other.,birds,picturesque,laboratory,visiting
It is believed that a number of mulberry trees planted around the garden or orchard would fully * the more valuable fruits.,protect,grains,five,neat
Birds of the * family_ though insignificant in size_ are far from being so in the matter of food habits.,titmouse,perceptible,constituting,groves
What * lack in size of body they more than make up in numbers of individuals.,they,flock,houses,cuckoos
As against the one place occupied by the larger bird_ 10 are being searched for food * the same time by the smaller species.,at,boxes,amount,average
Throughout the year most * the species of this group remain on their range_ so that they are constantly engaged in their beneficial work_ continuing it in winter when the majority of their coworkers have sought a milder clime.,of,wet,mainly,scattered
Within the boundaries of the United States are some 17 species of *_ with nearly as many races or subspecies_ so that there is no portion of the country lacking one or more forms.,titmice,use,wholly,injure
The western coast region is peculiarly rich In representatives * the family.,of,swamp,mud,poison
This bird_ or some * its subspecies_ occupies the whole of that part of the United States north of the latitude of Washington and extends into Canada.,of,chewink,their,rollicking
It is a prolific *_ usually rearing from six to eight young in a brood.,breeder,differs,amounting,bug
Examination of 289 stomachs of this chickadee shows * its food consists of 68 per cent animal matter (insects) and 32 per cent vegetable matter.,that,onefourth,offense,losses
The former is made up of small caterpillars and * and their eggs. Prominent among the latter are the eggs of the tent caterpillar moths_ both the orchard and forest species.,moths,attentive,shrub,centers
As these are * of our most destructive insects_ the good done by the chickadee in devouring their eggs needs no comment.,two,annoys,hollow,eater
During the winter the chickadee’s food is made up of larvæ_ chrysalids_ and eggs of moths_ varied * a few seeds_ but as spring brings out hordes of flying_ crawling_ and jumping insects_ the bird varies its diet by taking also some of these.,by,millipedes,mammals,lark
Flies and bugs are the favorites until the weather becomes quite warm_ when * and small wasps also are enjoyed.,beetles,barns,fruiteating,reputation
Among the bugs may be mentioned the plant lice and their * which are eaten in winter.,eggs,opportunities,sawflies,broadcast
The * nearly all belong to the group of snout beetles_ more commonly known as weevils.,beetles,reduce,feed,just
