Fellow employees gave similar evidence to that of Mr. David_ but were all so evidently convinced of Harley’s innocence_ that counsel for the prosecution no longer felt quite sure of winning the case_ until Mr. Gay produced the most damning evidence that could be forthcoming against a * accused of theft.,man,liking,requires,blundering
He was about thirty years old_ originally possessed of fair hair * a concomitant complexion.,and,borne,sigh,vainer
At * in the morning these were fetched by the leading shopman_ whose duty it was to see that all was in readiness to receive customers at ten o’clock.,nine,askance,guided,circumstances
Was it possible that he was * to?,alluded,lips,fire,employment
He was fully alive to the fact that news of his safety would be gladly welcomed by his mother * friends.,and,qualities,neglect,vividly
Said sister’s name was Mrs. Twiley_ and she lived at Gibraltar when at *_ her husband being a sergeant-major there.,home,explained,communicating,brother
\"We have * at last!\" whispered Mr. Cory_ joyfully.,him,cause,becoming,culprit
Then_ knowing beforehand * the captain would do_ he ordered the man at the wheel to steer for the distressed aeronauts.,what,recumbent,battered,desk
He_ being sensitive and refined_ vowed just as positively that nothing but the most incontrovertible proofs of his innocence * ever permit him to take advantage of her love.,would,barque,inquiries,begrudge
\"I * how much and how little he knows_\" the latter mused.,wonder,murmured,effect,today
He was positively jubilant_ for * missive bore a Spanish postmark_ and was in the handwriting which had become quite familiar to the pseudo governess of Fanny Stavanger.,the,darker,covert,acknowledgment
As soon as rescuers and rescued were safely on board_ Captain Pereiro * the order to brace the mainyard_ and speedily_ with well-filled sails_ the barque was being steered on her course once more.,gave,seat,admire,faces
Briny * in the hall when he arrived_ and welcomed him with the wildest demonstrations of affection.,was,discoveries,stones,discharged
\"Captain Cochrane? What of him_ for Heaven’s sake?\" * Annie_ in great excitement.,cried,judges,provoked,alone
\"I have * reputation for speed and efficiency to keep up_\" he said.,my,nasty,viewed,witness
The late Mr. Dollman * been a lieutenant stationed at the fortress.,had,cigarette,moreover,applications
This reflection quickened Mr. Cory’s movements_ with the result that he was at the station quite * hour before the time appointed.,an,progress,saddened,flashed
\"By no *_ my dear_\" objected Mr. Cory.,means,ruefully,pity,fomenting
\"But things did not work quite so satisfactorily * had been expected_\" he continued.,as,pump,utterly,contentedly
Some people are * aroused by any unexpected sound.,easily,institution,aptitude,drawback
As they walked briskly onwards_ he gradually betrayed * real character to his companion_ or_ rather_ he would have done so had Mr. Bootle not thoroughly gauged it beforehand.,his,unobtrusively,shouted,muster
With this_ Mrs. Riddell stooped to * Annie.,kiss,tossed,alive,boarded
The girl had borne * much as she could.,as,lull,strain,discuss
As for Mr. Ernest Bootle_ he went on his way rejoicing_ *_ and feeling not the slightest qualm of conscience at what he had done_ since it was all in the cause of right and justice.,too,promise,bewildering,handsomely
As she spoke_ the girl handed a photograph of a handsome_ smiling young fellow to * visitor_ at which the latter gazed with a mist gathering in her eyes.,her,daring,visit,steadiness
Yet that it had something * do with the flight of Mr. Torrens_ and the abduction of the said spoil_ Captain Cochrane felt morally convinced.,to,induce,leaped,terms
He also has embarked * a line of business which ensures him freedom from pecuniary anxiety.,in,notoriously,invariable,obtained
The latter * the door behind his visitor_ and pointed out a comfortable chair to him.,closed,flanked,cordiality,standing
\"I beg your *_\" interrupted the detective_ whose name was John Gay.,pardon,ploughing,references,loitered
At the end of that time Mrs. Twiley came to * by prearrangement_ and was utterly astonished to watch the metamorphosis effected in her appearance while she was there.,her,manage,tying,but
Others had now also both seen and heard * was going on_ and it scarcely needed Captain Pereiro’s sharp command to back the mainyard in order to induce his sailors to bring about the end he desired.,what,relapsed,silence,pantry
To Mr. Cory and Annie the sight was especially painful_ for it brought vividly to their minds poor Hilton’s fate_ and they could not help picturing the last scene of his life as an * one.,awful,mope,endorse,winsome
\"And you were * drowned after all?\" queried Annie_ with a spice of mischief in her voice.,not,heroine,frequent,preoccupied
So the * steamer forged ahead_ leaving the stranger in its wake_ and it was already well astern_ when suddenly a long_ mournful howl was heard_ thrilling every soul on board with a feeling of horror.,great,pleasant,learn,relegated
\"This * my sister_ Mrs. Twiley_\" said Mrs. Dollman some time later.,is,hurried,linked,compelled
He lived not far away_ and from him they hoped to be * to hear a few after-details of the case.,able,sleep,unskilfulness,happiest
\"You would like to know * reasons for believing that your friend has met with foul play_\" said Captain Gerard_ after the first horror and surprise of his hearers was over.,my,tallied,lonely,accelerate
Briny acknowledged the compliment by * stately wave of his tail_ and by gently inserting his nose in the hand of his mistress_ knowing that she always had a caress to spare for him.,a,justice,stand,entrance
Now_ had the pursuit and discovery of a diamond thief involved no loss or danger to himself_ the skipper of the \"Merry Maid\" would not have * very much concern.,felt,mates,promenadings,character
According to the account * Mr. Gerard_ the new master of the \"Merry Maid_\" Mr. Cochrane had had a legacy of a thousand pounds left him lately_ and he had resolved to take a holiday for the space of a voyage.,of,resulted,offering,failure
Had Hilton * their patron saint himself_ he could not have been treated with more care and tenderness_ and his returning consciousness of what he had been saved from invested them_ in turn_ with every saint-like attribute.,been,disfavour,belt,sharp
He had been * the \"poste restante\" for his letter_ and as his eyes wandered from one page to another_ rapidly deciphering the contents that would have proved so baffling to anyone not initiated in the business of Stavanger_ Stavanger_ and Co.,to,unexpectedly,disposed,stupefied
Perhaps their confidence was * premature_ but it was easy to comprehend.,rather,saw,capital,arrive
The captain had retired * the night_ but found sleep to be in too fitful and fleetsome a mood to benefit him.,for,fate,wet,particular
His face lengthened considerably as he listened to the long account of disappointment * failure they had to give him.,and,jewellery,met,boarder
\"We hope to be able to help the * considerably by means of the ring you wrote to us about_\" observed Mr. Cory.,case,leading,pursuance,soninlaw
Detection and exposure of Torrens meant loss_ disgrace_ and imprisonment * Captain Cochrane.,for,buses,listened,whither
Then he reached out of the * under his bunk an empty wine bottle.,drawer,different,rebelled,makes
\"You will stop the ship now_ won’t you?\" cried out a dozen people * once.,at,resolution,repair,taxes
Both his father and his uncle had suddenly disappeared_ and * evidence was unavailable.,their,wired,another,accordance
