A moment’s reflection_ however_ recalled the events * the previous evening_ and alarm became curiosity.,of,jerk,exhibition,paper
The snow_ while not so deep as it had been * the ravine_ was still too deep for good traveling.,in,indignation,even,lunch
There he was joined * Sidney.,by,shoulder,question,leaped
They found Tiflis situated where the Kura River emerged from between high * mountains.,bare,fright,difficult,encountering
Outside_ however_ the silence * not broken_ but continued as profound as before.,was,flat,nearly,animals
The boys looked at each other * wide-eyed apprehension_ then they raised themselves cautiously from their blankets and stood_ Raymond with his revolver held at full cock.,in,taxed,débris,has
They wondered if they had made a supreme effort to get * of Russia only to land in a mountain jail.,out,sally,binoculars,justify
They stumbled along in the dark over the rocky surface_ and * were beyond what seemed to be the extreme limit of the village.,soon,saying,intelligible,soldier
They observed that the space in front of the room where they had * was_ in fact_ a terrace.,slept,greeted,author,plunging
So he stuck by his brother * they went down together.,and,cruiser,surface,flowing
As soon as that was concluded * took the road again_ with a desire to reach a level that would give a decidedly warmer climate for their next camp.,they,prediction,high,watched
When it did_ Raymond held it up as close as he dared and saw a great bear standing erect on his hind legs_ apparently wedged tightly in * opening.,the,menu,tiresome,recovered
Extending back on * right side beneath the overhanging rock was a sheltered space_ very like a small cave.,the,depression,advanced,entreatingly
Raymond threw up his revolver_ and bringing it down_ fired as it came * a level.,to,having,clubbing,precisely
Raymond wondered what the * could be that was the object of the hunter’s aim.,game,sides,arrived,turning
It was well into the night before the dancing ceased * the people scattered to their homes.,and,fled,flowed,opposite
With the man conscious_ he would not be able to hide from him or to escape him in the end_ though he might at * outdistance him in running.,first,slid,floated,bright
Raymond either did not hear or did not care_ for he struck * horse another blow and dashed past the obstructing group.,his,considerable,purse,heap
The boys * at each other_ at first too stunned and shocked for expression_ then indignation possessed Raymond.,gazed,again,coals,dripped
They went back and forth from the deck_ * there was nothing of especial interest_ to the engine-room_ where there was a good deal.,where,sheltered,swept,succession
\"Goodness! Sid_ look over the door!\" * exclaimed.,he,bitter,wrench,series
After he had * the papers he went below with Captain Foster to inspect the cargo.,examined,fast,silky,audible
The raft plunged heavily and sullenly through the * sea.,rising,donkeys,words,bridle
The boys_ however_ did not take much time for star-gazing_ and the aching of their muscles all over their bodies assured * that what they had gone through was no dream.,them,him,forgotten,greatest
The two raced on at a speed which_ under ordinary *_ and without the stimulus of an overpowering desire_ would have soon exhausted them.,conditions,politeness,sail,de
The supporting rope had * been provided any too soon_ for the gale increased in intensity.,not,quiver,likely,stems
These people_ as well as nearly all the Russians_ were preparing their afternoon potation of tea_ made from * tea bricks and hot water which they obtained from the waiters.,pressed,pangs,ploughed,mind
The boys waited with their hearts in their throats_ expecting an attack * some sort of formidable animal.,from,grating,drum,aboard
The boys_ while it was * light_ carefully inspected the window bars so that they would know just what to do in the dark.,still,summons,frontier,afraid
The * observed no habitations on the south slope of the range_ and in fact the descent was so short and so precipitous that it would have been impossible for any one to make a home there.,travelers,frenzy,coast,biting
The travelers found * people whom they encountered to be very different from the stern inhabitants of the rugged mountains of Daghestan.,the,plainly,pass,dreadful
They had evidently been tied there many hours_ for they had restlessly tramped the ground * the length of their tethers_ and they whinnied entreatingly when they saw the boys.,within,threw,needs,past
Even Raymond’s revolver was * in his possession.,still,boat,irrigation,assembled
Then for a moment there was a * in the sound_ followed by a heavy thud_ and in another moment the sound of a blow.,pause,shouted,expedited,always
\"That means we’re on the * road_\" said Sidney.,wrong,unoccupied,into,main
Toward * front of the jail it opened out into a wider space which Sidney knew must be a street.,the,delay,dropped,no
Punctuation * been made consistent.,has,too,making,drew
Though he believed that any objection on his part would be futile_ he determined to make * attempt to at least obtain information.,an,thin,island,tonight
The boys * worked faithfully over Captain Foster_ but he still had not recovered consciousness_ though his body had become much warmer.,had,floating,bricks,stream
Near * stood a gentleman who was also regarding the view.,them,simply,feverish,swim
The trail across the summit was * obliterated_ at least_ the boys could find none; and for a short distance down the south side also_ none appeared.,entirely,landed,years,passage
The animal’s head lay over to one side against the rock_ and blood dripped * the jaws.,from,bearing,truthfully,safety
Though the lunch was extremely simple_ consisting mainly of dry *_ they were able to occupy considerable time in disposing of it_ for very careful mastication was necessary in order to swallow the food without water_ of which there was none.,bread,owners,fillip,shouted
It pitched and rolled altogether too * for comfort.,much,swifter,belonging,disposing
\"Because they probably became entangled in some way * were held down_\" replied the captain.,and,ammunition,subject,it
On the lintel * tacked the bony skeletons of two human hands.,were,separate,picking,obtained
There was barely time to see a steamer that was bearing down upon them not far away_ when * raft plunged into the trough again.,the,hind,quickly,promptly
\"He meant something worse * a windstorm_\" said the captain.,than,valley,gentle,agitated
The house was built of rough stone_ and * walls were not finished in any way on the inside.,the,wistful,following,reflection
