He sat between them_ a chair’s width in advance_ before * table.,his,jaw,firstclass,ourselves
They received a reply from the warden of a penitentiary in the northwest_ saying * a man answering that description had served time for train robbery.,that,evening,probably,ended
It seemed a long time as * sat there in the darkness waiting for the train; but it was perhaps_ in fact_ less than half an hour.,we,depends,mold,pellets
But the greatest wonder was the girl * rode the white horse.,who,departure,supper,sprang
He knew * well that death was on him.,perfectly,concern,season,open
He lifted himself on his great hands and turned * whole of his body toward me.,the,ride,confidence,system
Finally * found a chestnut on the wooded ridge of the hill.,they,thirtytwocaliber,beat,finding
The *_ which he had given the express agent to put in with them_ he also restored to the position it had occupied when the agent thrust it in.,envelope,framed,angle,ahead
There was * line of people waiting to get on the train_ standing outside the station on the wooden platform.,a,steel,selected,remain
It now lay on * world about us extending to the macadam road.,the,foreign,crowded,rusted
In * confusion and as swiftly as he could_ Arnbush descended the stair and went out into the street.,some,big,folders,into
As * left the stateroom_ the other detective arose and stood in the open door.,he,limousine,fields,serve
The same baby that we spotted * the Junction goes to the tank at 10:15 to-night.,at,jar,oily,lie
The chemist * back to his stool.,went,bandit,extending,specify
The engineer was following * rule of the road that one must not under any circumstances run past a red light.,a,distribution,constable,ascended
No one could have told that the * had been in any sense tampered with.,packages,remember,want,enough
As it happened the doctor was not in the house_ but the * in charge of his office permitted Maggie to use the telephone.,person,decide,enough,mountain
Near a little village I passed one of those local trains_ common to this country: * engine_ one or two cars_ and an old passenger coach.,an,prepared,arms,bedded
It was my direction to stay * White and I now ran with him to the engine.,with,once,safeguard,velvet
There was no help in the world: either her own life or the * of her father was on the way to dreadful wreckage!,memory,pulling,wasted,assumed
Then suddenly it thundered through a gap * the hills and pulled up by the tank.,in,lightless,convenience,overcoat
At this moment a tall man wearing a distinguished order passed the Chief * the American Secret Service.,of,lengthened,uniform,rumor
The big_ old man of the close-cropped skull plucked the attorney by the * and spoke in an audible whisper.,sleeve,guardian,cotton,blanks
I was astonished at the * I saw.,face,broadcast,file,gesticulate
They would have the pound * flesh_ now that the fortune was gone.,of,online,bricks,pick
He lifted himself in the chair with the strength of his * on the broad arm-rests.,hands,scrutiny,activities,actually
